created_at,entry_id,field1,field2,field3,field4,field5,field6
2025-11-19T13:47:38+00:00,244,647,9,0.000000,0.000000,19-11-2025 19:17:37,1
2025-11-19T13:47:55+00:00,245,645,9,0.000000,0.000000,19-11-2025 19:17:53,1
2025-11-19T13:48:11+00:00,246,643,9,0.000000,0.000000,19-11-2025 19:18:10,1
2025-11-19T13:48:28+00:00,247,631,8,0.000000,0.000000,19-11-2025 19:18:27,1
2025-11-19T13:48:44+00:00,248,631,8,0.000000,0.000000,19-11-2025 19:18:43,1
2025-11-19T13:49:01+00:00,249,634,8,0.000000,0.000000,19-11-2025 19:19:00,1
2025-11-19T13:49:18+00:00,250,635,9,0.000000,0.000000,19-11-2025 19:19:17,1
2025-11-19T13:49:35+00:00,251,627,8,0.000000,0.000000,19-11-2025 19:19:34,1
2025-11-19T13:49:51+00:00,252,626,8,0.000000,0.000000,19-11-2025 19:19:51,1
2025-11-19T13:50:08+00:00,253,637,9,0.000000,0.000000,19-11-2025 19:20:07,1
2025-11-19T13:50:25+00:00,254,634,8,0.000000,0.000000,19-11-2025 19:20:24,1
2025-11-19T13:50:42+00:00,255,626,8,0.000000,0.000000,19-11-2025 19:20:40,1
2025-11-19T13:50:58+00:00,256,627,8,0.000000,0.000000,19-11-2025 19:20:57,1
2025-11-19T13:51:15+00:00,257,624,8,0.000000,0.000000,19-11-2025 19:21:14,1
2025-11-19T13:51:32+00:00,258,618,7,0.000000,0.000000,19-11-2025 19:21:31,1
2025-11-19T13:51:49+00:00,259,619,7,0.000000,0.000000,19-11-2025 19:21:48,1
2025-11-19T13:52:05+00:00,260,625,8,0.000000,0.000000,19-11-2025 19:22:04,1
2025-11-19T13:52:22+00:00,261,623,8,0.000000,0.000000,19-11-2025 19:22:21,1
2025-11-19T13:52:39+00:00,262,619,7,0.000000,0.000000,19-11-2025 19:22:37,1
2025-11-19T13:52:55+00:00,263,621,8,0.000000,0.000000,19-11-2025 19:22:54,1
2025-11-19T13:53:12+00:00,264,624,8,0.000000,0.000000,19-11-2025 19:23:09,1
2025-11-19T13:53:29+00:00,265,613,7,0.000000,0.000000,19-11-2025 19:23:27,1
2025-11-19T13:53:45+00:00,266,611,7,0.000000,0.000000,19-11-2025 19:23:44,1
2025-11-19T13:54:01+00:00,267,610,7,0.000000,0.000000,19-11-2025 19:24:00,1
2025-11-19T13:54:18+00:00,268,608,7,0.000000,0.000000,19-11-2025 19:24:17,1
2025-11-19T13:54:34+00:00,269,611,7,0.000000,0.000000,19-11-2025 19:24:33,1
2025-11-19T13:54:51+00:00,270,608,7,0.000000,0.000000,19-11-2025 19:24:49,1
2025-11-19T13:55:07+00:00,271,612,7,0.000000,0.000000,19-11-2025 19:25:06,1
2025-11-19T13:55:24+00:00,272,608,7,0.000000,0.000000,19-11-2025 19:25:23,1
2025-11-19T13:55:40+00:00,273,257,0,0.000000,0.000000,19-11-2025 19:25:39,0
2025-11-19T13:55:57+00:00,274,861,24,0.000000,0.000000,19-11-2025 19:25:56,1
2025-11-19T13:56:13+00:00,275,746,16,0.000000,0.000000,19-11-2025 19:26:13,1
2025-11-19T13:56:30+00:00,276,721,14,0.000000,0.000000,19-11-2025 19:26:29,1
2025-11-19T13:56:47+00:00,277,714,14,0.000000,0.000000,19-11-2025 19:26:46,1
2025-11-19T13:57:03+00:00,278,704,13,0.000000,0.000000,19-11-2025 19:27:02,1
2025-11-19T13:57:20+00:00,279,675,11,0.000000,0.000000,19-11-2025 19:27:20,1
2025-11-19T13:57:37+00:00,280,661,10,0.000000,0.000000,19-11-2025 19:27:36,1
2025-11-19T13:57:54+00:00,281,647,9,0.000000,0.000000,19-11-2025 19:27:53,1
2025-11-19T13:58:10+00:00,282,649,9,0.000000,0.000000,19-11-2025 19:28:09,1
2025-11-19T13:58:27+00:00,283,639,9,0.000000,0.000000,19-11-2025 19:28:26,1
2025-11-19T13:58:44+00:00,284,631,8,0.000000,0.000000,19-11-2025 19:28:42,1
2025-11-19T13:59:00+00:00,285,634,8,0.000000,0.000000,19-11-2025 19:28:59,1
2025-11-19T13:59:17+00:00,286,624,8,0.000000,0.000000,19-11-2025 19:29:16,1
